"set","n","result","instance","D","runtime"
"GBRL",100,1,"100_ep0.075_0_gilbert_8.in",9,0.0627
"GBRL",100,1,"100_ep0.075_0_gilbert_8.in",10,0.0459
"GBRL",100,94,"100_ep0.075_0_gilbert_1.in",1,117.9695
"GBRL",100,89,"100_ep0.075_0_gilbert_1.in",2,111.115
"GBRL",100,84,"100_ep0.075_0_gilbert_1.in",3,275.1563
"GBRL",100,77,"100_ep0.075_0_gilbert_1.in",4,394.8377
"GBRL",100,69,"100_ep0.075_0_gilbert_1.in",5,336.1871
"GBRL",100,59,"100_ep0.075_0_gilbert_1.in",6,699.9107
"GBRL",100,6,"100_ep0.075_0_gilbert_1.in",7,0.7804
"GBRL",100,3,"100_ep0.075_0_gilbert_1.in",8,0.2325
"GBRL",100,2,"100_ep0.075_0_gilbert_1.in",9,0.196
"GBRL",100,1,"100_ep0.075_0_gilbert_1.in",10,0.0476
"GBRL",100,96,"100_ep0.1_0_gilbert_7.in",1,135.6048
"GBRL",100,91,"100_ep0.1_0_gilbert_7.in",2,212.4463
"GBRL",100,86,"100_ep0.1_0_gilbert_7.in",3,378.5168
"GBRL",100,81,"100_ep0.1_0_gilbert_7.in",4,489.2084
"GBRL",100,74,"100_ep0.1_0_gilbert_7.in",5,634.0327
"GBRL",100,3,"100_ep0.1_0_gilbert_7.in",6,0.9388
"GBRL",100,1,"100_ep0.1_0_gilbert_7.in",7,0.1795
"GBRL",100,1,"100_ep0.1_0_gilbert_7.in",8,0.1229
"GBRL",100,1,"100_ep0.1_0_gilbert_7.in",9,0.1286
"GBRL",100,1,"100_ep0.1_0_gilbert_7.in",10,0.1128
"GBRL",100,97,"100_ep0.125_0_gilbert_7.in",1,68.0061
"GBRL",100,93,"100_ep0.125_0_gilbert_7.in",2,172.4801
"GBRL",100,89,"100_ep0.125_0_gilbert_7.in",3,284.5066
"GBRL",100,85,"100_ep0.125_0_gilbert_7.in",4,181.5226
"GBRL",100,80,"100_ep0.125_0_gilbert_7.in",5,104.4989
"GBRL",100,74,"100_ep0.125_0_gilbert_7.in",6,85.0739
"GBRL",100,68,"100_ep0.125_0_gilbert_7.in",7,587.8857
"GBRL",100,57,"100_ep0.125_0_gilbert_7.in",8,440.5182
"GBRL",100,2,"100_ep0.125_0_gilbert_7.in",9,0.4102
"GBRL",100,1,"100_ep0.125_0_gilbert_7.in",10,0.0971
"GBRL",100,95,"100_ep0.075_0_gilbert_7.in",1,755.2555
"GBRL",100,88,"100_ep0.075_0_gilbert_7.in",2,1299.2181
"GBRL",100,2,"100_ep0.075_0_gilbert_7.in",3,0.7061
"GBRL",100,1,"100_ep0.075_0_gilbert_7.in",4,0.1247
"GBRL",100,1,"100_ep0.075_0_gilbert_7.in",5,0.0996
"GBRL",100,1,"100_ep0.075_0_gilbert_7.in",6,0.0826
"GBRL",100,1,"100_ep0.075_0_gilbert_7.in",7,0.0863
"GBRL",100,1,"100_ep0.075_0_gilbert_7.in",8,0.121
"GBRL",100,1,"100_ep0.075_0_gilbert_7.in",9,0.0986
"GBRL",100,1,"100_ep0.075_0_gilbert_7.in",10,0.0718
"GBRL",100,96,"100_ep0.1_0_gilbert_5.in",1,97.3693
"GBRL",100,92,"100_ep0.1_0_gilbert_5.in",2,103.1964
"GBRL",100,87,"100_ep0.1_0_gilbert_5.in",3,114.9964
"GBRL",100,82,"100_ep0.1_0_gilbert_5.in",4,75.5263
"GBRL",100,77,"100_ep0.1_0_gilbert_5.in",5,59.6572
"GBRL",100,72,"100_ep0.1_0_gilbert_5.in",6,190.9957
"GBRL",100,66,"100_ep0.1_0_gilbert_5.in",7,718.1423
"GBRL",100,56,"100_ep0.1_0_gilbert_5.in",8,459.1326
"GBRL",100,9,"100_ep0.1_0_gilbert_5.in",9,3.149
"GBRL",100,3,"100_ep0.1_0_gilbert_5.in",10,0.2002
"GBRL",100,97,"100_ep0.125_0_gilbert_6.in",1,142.7135
"GBRL",100,93,"100_ep0.125_0_gilbert_6.in",2,112.4443
"GBRL",100,90,"100_ep0.125_0_gilbert_6.in",3,433.4581
"GBRL",100,86,"100_ep0.125_0_gilbert_6.in",4,276.2279
"GBRL",100,81,"100_ep0.125_0_gilbert_6.in",5,243.8926
"GBRL",100,76,"100_ep0.125_0_gilbert_6.in",6,66.9339
"GBRL",100,70,"100_ep0.125_0_gilbert_6.in",7,63.333
"GBRL",100,64,"100_ep0.125_0_gilbert_6.in",8,135.0117
"GBRL",100,58,"100_ep0.125_0_gilbert_6.in",9,589.3659
"GBRL",100,42,"100_ep0.125_0_gilbert_6.in",10,257.4282
"GBRL",100,95,"100_ep0.075_0_gilbert_3.in",1,109.8242
"GBRL",100,89,"100_ep0.075_0_gilbert_3.in",2,152.2676
"GBRL",100,83,"100_ep0.075_0_gilbert_3.in",3,222.7478
"GBRL",100,75,"100_ep0.075_0_gilbert_3.in",4,64.833
"GBRL",100,65,"100_ep0.075_0_gilbert_3.in",5,72.987
"GBRL",100,41,"100_ep0.075_0_gilbert_3.in",6,53.9319
"GBRL",100,4,"100_ep0.075_0_gilbert_3.in",7,0.3692
"GBRL",100,3,"100_ep0.075_0_gilbert_3.in",8,0.2214
"GBRL",100,2,"100_ep0.075_0_gilbert_3.in",9,0.169
"GBRL",100,1,"100_ep0.075_0_gilbert_3.in",10,0.0451
"GBRL",100,95,"100_ep0.075_0_gilbert_2.in",1,550.5531
"GBRL",100,88,"100_ep0.075_0_gilbert_2.in",2,525.6217
"GBRL",100,80,"100_ep0.075_0_gilbert_2.in",3,448.8522
"GBRL",100,2,"100_ep0.075_0_gilbert_2.in",4,0.5332
"GBRL",100,1,"100_ep0.075_0_gilbert_2.in",5,0.098
"GBRL",100,1,"100_ep0.075_0_gilbert_2.in",6,0.0825
"GBRL",100,1,"100_ep0.075_0_gilbert_2.in",7,0.0798
"GBRL",100,1,"100_ep0.075_0_gilbert_2.in",8,0.0694
"GBRL",100,1,"100_ep0.075_0_gilbert_2.in",9,0.0714
"GBRL",100,1,"100_ep0.075_0_gilbert_2.in",10,0.0512
"GBRL",50,47,"50_ep0.25_0_gilbert_1.in",1,3.8457
"GBRL",50,44,"50_ep0.25_0_gilbert_1.in",2,4.5625
"GBRL",50,40,"50_ep0.25_0_gilbert_1.in",3,1.41
"GBRL",50,37,"50_ep0.25_0_gilbert_1.in",4,1.9465
"GBRL",50,33,"50_ep0.25_0_gilbert_1.in",5,2.1551
"GBRL",50,28,"50_ep0.25_0_gilbert_1.in",6,1.6477
"GBRL",50,23,"50_ep0.25_0_gilbert_1.in",7,2.1124
"GBRL",50,13,"50_ep0.25_0_gilbert_1.in",8,1.0797
"GBRL",50,2,"50_ep0.25_0_gilbert_1.in",9,0.0967
"GBRL",50,1,"50_ep0.25_0_gilbert_1.in",10,0.033
"GBRL",50,47,"50_ep0.25_0_gilbert_9.in",1,1.6583
"GBRL",50,45,"50_ep0.25_0_gilbert_9.in",2,1.364
"GBRL",50,41,"50_ep0.25_0_gilbert_9.in",3,1.0099
"GBRL",50,38,"50_ep0.25_0_gilbert_9.in",4,0.3473
"GBRL",50,35,"50_ep0.25_0_gilbert_9.in",5,0.354
"GBRL",50,31,"50_ep0.25_0_gilbert_9.in",6,0.8883
"GBRL",50,28,"50_ep0.25_0_gilbert_9.in",7,0.4803
"GBRL",50,24,"50_ep0.25_0_gilbert_9.in",8,0.6807
"GBRL",50,19,"50_ep0.25_0_gilbert_9.in",9,0.3416
"GBRL",50,15,"50_ep0.25_0_gilbert_9.in",10,0.4707
"GBRL",50,47,"50_ep0.2_0_gilbert_2.in",1,1.9846
"GBRL",50,43,"50_ep0.2_0_gilbert_2.in",2,1.5469
"GBRL",50,40,"50_ep0.2_0_gilbert_2.in",3,1.2035
"GBRL",50,36,"50_ep0.2_0_gilbert_2.in",4,0.951
"GBRL",50,32,"50_ep0.2_0_gilbert_2.in",5,0.4303
"GBRL",50,28,"50_ep0.2_0_gilbert_2.in",6,0.623
"GBRL",50,25,"50_ep0.2_0_gilbert_2.in",7,0.7179
"GBRL",50,20,"50_ep0.2_0_gilbert_2.in",8,0.5175
"GBRL",50,15,"50_ep0.2_0_gilbert_2.in",9,0.2456
"GBRL",50,10,"50_ep0.2_0_gilbert_2.in",10,0.4045
"GBRL",50,47,"50_ep0.2_0_gilbert_4.in",1,1.7257
"GBRL",50,44,"50_ep0.2_0_gilbert_4.in",2,1.6392
"GBRL",50,40,"50_ep0.2_0_gilbert_4.in",3,1.9707
"GBRL",50,36,"50_ep0.2_0_gilbert_4.in",4,1.0764
"GBRL",50,32,"50_ep0.2_0_gilbert_4.in",5,0.9326
"GBRL",50,28,"50_ep0.2_0_gilbert_4.in",6,1.586
"GBRL",50,22,"50_ep0.2_0_gilbert_4.in",7,1.0462
"GBRL",50,16,"50_ep0.2_0_gilbert_4.in",8,0.7831
"GBRL",50,6,"50_ep0.2_0_gilbert_4.in",9,0.2869
"GBRL",50,3,"50_ep0.2_0_gilbert_4.in",10,0.0511
"GBRL",50,46,"50_ep0.2_0_gilbert_3.in",1,5.3587
"GBRL",50,41,"50_ep0.2_0_gilbert_3.in",2,8.3028
"GBRL",50,36,"50_ep0.2_0_gilbert_3.in",3,6.3954
"GBRL",50,16,"50_ep0.2_0_gilbert_3.in",4,3.4373
"GBRL",50,1,"50_ep0.2_0_gilbert_3.in",5,0.0358
"GBRL",50,1,"50_ep0.2_0_gilbert_3.in",6,0.0315
"GBRL",50,1,"50_ep0.2_0_gilbert_3.in",7,0.0529
"GBRL",50,1,"50_ep0.2_0_gilbert_3.in",8,0.0389
"GBRL",50,1,"50_ep0.2_0_gilbert_3.in",9,0.0329
"GBRL",50,1,"50_ep0.2_0_gilbert_3.in",10,0.0263
"GBRL",50,47,"50_ep0.25_0_gilbert_3.in",1,3.5952
"GBRL",50,44,"50_ep0.25_0_gilbert_3.in",2,3.0242
"GBRL",50,40,"50_ep0.25_0_gilbert_3.in",3,3.0669
"GBRL",50,36,"50_ep0.25_0_gilbert_3.in",4,2.3016
"GBRL",50,32,"50_ep0.25_0_gilbert_3.in",5,2.6194
"GBRL",50,25,"50_ep0.25_0_gilbert_3.in",6,2.6893
