"set","n","result","instance","D","runtime"
"BBGRL",100,1,"100_ep0.075_0_gilbert_1.in",10,0.0478
"BBGRL",100,90,"100_ep0.05_0_gilbert_9.in",1,287.9052
"BBGRL",100,80,"100_ep0.05_0_gilbert_9.in",2,135.8436
"BBGRL",100,68,"100_ep0.05_0_gilbert_9.in",3,185.6409
"BBGRL",100,6,"100_ep0.05_0_gilbert_9.in",4,2.7117
"BBGRL",100,2,"100_ep0.05_0_gilbert_9.in",5,0.2369
"BBGRL",100,1,"100_ep0.05_0_gilbert_9.in",6,0.1234
"BBGRL",100,1,"100_ep0.05_0_gilbert_9.in",7,0.1079
"BBGRL",100,1,"100_ep0.05_0_gilbert_9.in",8,0.0796
"BBGRL",100,1,"100_ep0.05_0_gilbert_9.in",9,0.0824
"BBGRL",100,1,"100_ep0.05_0_gilbert_9.in",10,0.0688
"BBGRL",100,96,"100_ep0.1_0_gilbert_7.in",1,132.2462
"BBGRL",100,91,"100_ep0.1_0_gilbert_7.in",2,215.3496
"BBGRL",100,86,"100_ep0.1_0_gilbert_7.in",3,377.3696
"BBGRL",100,81,"100_ep0.1_0_gilbert_7.in",4,475.5262
"BBGRL",100,74,"100_ep0.1_0_gilbert_7.in",5,635.813
"BBGRL",100,3,"100_ep0.1_0_gilbert_7.in",6,1.0335
"BBGRL",100,1,"100_ep0.1_0_gilbert_7.in",7,0.1034
"BBGRL",100,1,"100_ep0.1_0_gilbert_7.in",8,0.0879
"BBGRL",100,1,"100_ep0.1_0_gilbert_7.in",9,0.0795
"BBGRL",100,1,"100_ep0.1_0_gilbert_7.in",10,0.0571
"BBGRL",100,95,"100_ep0.075_0_gilbert_7.in",1,756.6755
"BBGRL",100,88,"100_ep0.075_0_gilbert_7.in",2,1300.6142
"BBGRL",100,2,"100_ep0.075_0_gilbert_7.in",3,0.7101
"BBGRL",100,1,"100_ep0.075_0_gilbert_7.in",4,0.1243
"BBGRL",100,1,"100_ep0.075_0_gilbert_7.in",5,0.1959
"BBGRL",100,1,"100_ep0.075_0_gilbert_7.in",6,0.141
"BBGRL",100,1,"100_ep0.075_0_gilbert_7.in",7,0.1232
"BBGRL",100,1,"100_ep0.075_0_gilbert_7.in",8,0.1134
"BBGRL",100,1,"100_ep0.075_0_gilbert_7.in",9,0.124
"BBGRL",100,1,"100_ep0.075_0_gilbert_7.in",10,0.0899
"BBGRL",100,96,"100_ep0.1_0_gilbert_5.in",1,96.5373
"BBGRL",100,92,"100_ep0.1_0_gilbert_5.in",2,105.6069
"BBGRL",100,87,"100_ep0.1_0_gilbert_5.in",3,115.0671
"BBGRL",100,82,"100_ep0.1_0_gilbert_5.in",4,77.9013
