"set","n","result","instance","D","runtime","seed"
"GBRL",1000,7,"1000_r0.05_0_geom_8.gin",2,30.0075,1504999170309746688
"GBRL",1000,5,"1000_r0.05_0_geom_8.gin",3,10.5686,1504999202382918144
"GBRL",1000,4,"1000_r0.05_0_geom_8.gin",4,8.2219,1504999215002479104
"GBRL",1000,3,"1000_r0.05_0_geom_8.gin",5,7.9366,1504999225318451968
"GBRL",1000,2,"1000_r0.05_0_geom_8.gin",6,6.058,1504999235431632896
"GBRL",1000,1,"1000_r0.05_0_geom_8.gin",7,6.433,1504999243520783616
"GBRL",1000,1,"1000_r0.05_0_geom_8.gin",8,6.617,1504999251740264448
"GBRL",1000,1,"1000_r0.05_0_geom_8.gin",9,5.9565,1504999260480198912
"GBRL",1000,1,"1000_r0.05_0_geom_8.gin",10,5.5417,1504999268522262784
"GBRL",1000,777,"1000_r0.05_0_geom_10.gin",1,358.9619,1504999276295221760
"GBRL",1000,2,"1000_r0.05_0_geom_10.gin",2,18.8554,1504999637097572352
"GBRL",1000,1,"1000_r0.05_0_geom_10.gin",3,6.6071,1504999657988608256
"GBRL",1000,1,"1000_r0.05_0_geom_10.gin",4,5.8376,1504999666826028288
"GBRL",1000,1,"1000_r0.05_0_geom_10.gin",5,5.7536,1504999674531627520
"GBRL",1000,1,"1000_r0.05_0_geom_10.gin",6,5.7859,1504999682444649216
"GBRL",1000,1,"1000_r0.05_0_geom_10.gin",7,5.968,1504999690268828160
"GBRL",1000,1,"1000_r0.05_0_geom_10.gin",8,6.2529,1504999698407622144
"GBRL",1000,1,"1000_r0.05_0_geom_10.gin",9,5.8814,1504999706507263232
"GBRL",1000,1,"1000_r0.05_0_geom_10.gin",10,6.3468,1504999714429139712
"GBRL",1000,904,"1000_r0.065_0_geom_2.gin",1,335.7021,1504999722889380608
"GBRL",1000,879,"1000_r0.065_0_geom_2.gin",2,360.0365,1505000060385232384
"GBRL",1000,877,"1000_r0.065_0_geom_2.gin",3,359.5533,1505000422196455936
"GBRL",1000,17,"1000_r0.065_0_geom_2.gin",4,75.8036,1505000783794640640
"GBRL",1000,13,"1000_r0.065_0_geom_2.gin",5,95.187,1505000861482129664
"GBRL",1000,6,"1000_r0.065_0_geom_2.gin",6,71.2076,1505000958536406784
"GBRL",1000,4,"1000_r0.065_0_geom_2.gin",7,58.5869,1505001031776136448
