"set","n","result","instance","D","runtime","seed"
"GEN-ER",150,123,"150_ep0.075_degree_erdos_7.in",5,153.9362,1512146436188296704
"GEN-ER",150,118,"150_ep0.075_degree_erdos_7.in",6,515.3542,1512146590143715328
"GEN-ER",150,112,"150_ep0.075_degree_erdos_7.in",7,600.0862,1512147105513686272
"GEN-ER",150,105,"150_ep0.075_degree_erdos_7.in",8,600.1009,1512147705615627264
"GEN-ER",150,98,"150_ep0.075_degree_erdos_7.in",9,600.0836,1512148305732973056
"GEN-ER",150,89,"150_ep0.075_degree_erdos_7.in",10,600.0971,1512148905836157184
"GEN-ER",150,145,"150_ep0.075_degree_erdos_9.in",1,5.0841,1512149505966893056
"GEN-ER",150,140,"150_ep0.075_degree_erdos_9.in",2,45.737,1512149511080544768
"GEN-ER",150,134,"150_ep0.075_degree_erdos_9.in",3,395.171,1512149556833071360
"GEN-ER",150,129,"150_ep0.075_degree_erdos_9.in",4,600.0943,1512149952020038144
"GEN-ER",150,123,"150_ep0.075_degree_erdos_9.in",5,600.0953,1512150552134008320
"GEN-ER",150,115,"150_ep0.075_degree_erdos_9.in",6,600.1126,1512151152248773888
"GEN-ER",150,107,"150_ep0.075_degree_erdos_9.in",7,600.1011,1512151752377558016
"GEN-ER",150,97,"150_ep0.075_degree_erdos_9.in",8,600.1015,1512152352494467072
"GEN-ER",150,78,"150_ep0.075_degree_erdos_9.in",9,600.1732,1.512152952617e+18
"GEN-ER",150,5,"150_ep0.075_degree_erdos_9.in",10,24.4194,1512153552812658688
"GEN-ER",150,146,"150_ep0.1_degree_erdos_2.in",1,5.3198,1512153577273833728
"GEN-ER",150,142,"150_ep0.1_degree_erdos_2.in",2,17.8627,1512153582609831680
"GEN-ER",150,138,"150_ep0.1_degree_erdos_2.in",3,55.4001,1512153600492586752
"GEN-ER",150,133,"150_ep0.1_degree_erdos_2.in",4,119.6909,1512153655912190720
"GEN-ER",150,129,"150_ep0.1_degree_erdos_2.in",5,257.4397,1512153775623211776
"GEN-ER",150,124,"150_ep0.1_degree_erdos_2.in",6,343.8603,1512154033079021312
"GEN-ER",150,119,"150_ep0.1_degree_erdos_2.in",7,600.0762,1512154376958575360
"GEN-ER",150,114,"150_ep0.1_degree_erdos_2.in",8,600.0884,1512154977055563008
"GEN-ER",150,108,"150_ep0.1_degree_erdos_2.in",9,600.1051,1512155577164527104
"GEN-ER",150,102,"150_ep0.1_degree_erdos_2.in",10,600.1271,1512156177292466688
"GEN-ER",150,147,"150_ep0.125_degree_erdos_9.in",1,4.6418,1512156777445883904
"GEN-ER",150,144,"150_ep0.125_degree_erdos_9.in",2,11.6829,1.512156782118e+18
"GEN-ER",150,140,"150_ep0.125_degree_erdos_9.in",3,65.1898,1512156793820374784
"GEN-ER",150,136,"150_ep0.125_degree_erdos_9.in",4,183.4569,1512156859030289664
"GEN-ER",150,132,"150_ep0.125_degree_erdos_9.in",5,282.982,1512157042504477952
"GEN-ER",150,128,"150_ep0.125_degree_erdos_9.in",6,577.1504,1512157325507101952
"GEN-ER",150,124,"150_ep0.125_degree_erdos_9.in",7,600.1144,1512157902677325824
"GEN-ER",150,120,"150_ep0.125_degree_erdos_9.in",8,600.086,1512158502817303808
"GEN-ER",150,115,"150_ep0.125_degree_erdos_9.in",9,600.1654,1512159102921597440
"GEN-ER",150,110,"150_ep0.125_degree_erdos_9.in",10,600.1861,1512159703107181312
"GEN-ER",150,146,"150_ep0.125_degree_erdos_5.in",1,4.8571,1512160303332096768
"GEN-ER",150,143,"150_ep0.125_degree_erdos_5.in",2,8.9745,1512160308208377600
"GEN-ER",150,140,"150_ep0.125_degree_erdos_5.in",3,119.0558,1512160317199462144
"GEN-ER",150,136,"150_ep0.125_degree_erdos_5.in",4,159.7473,1512160436274749952
"GEN-ER",150,132,"150_ep0.125_degree_erdos_5.in",5,242.2072,1512160596042145280
"GEN-ER",150,129,"150_ep0.125_degree_erdos_5.in",6,600.0864,1512160838268956160
"GEN-ER",150,125,"150_ep0.125_degree_erdos_5.in",7,600.0977,1512161438372068864
"GEN-ER",150,121,"150_ep0.125_degree_erdos_5.in",8,600.1341,1512162038493359104
"GEN-ER",150,117,"150_ep0.125_degree_erdos_5.in",9,600.1615,1512162638648540928
"GEN-ER",150,113,"150_ep0.125_degree_erdos_5.in",10,600.1846,1512163238829807360
"GEN-ER",150,147,"150_ep0.125_degree_erdos_10.in",1,5.0557,1512163839049604352
"GEN-ER",150,143,"150_ep0.125_degree_erdos_10.in",2,5.5965,1512163844135758848
"GEN-ER",150,140,"150_ep0.125_degree_erdos_10.in",3,11.7882,1512163849748708608
"GEN-ER",150,136,"150_ep0.125_degree_erdos_10.in",4,40.8093,1512163861559058944
"GEN-ER",150,133,"150_ep0.125_degree_erdos_10.in",5,154.956,1512163902388380416
"GEN-ER",150,129,"150_ep0.125_degree_erdos_10.in",6,381.4414,1512164057364468224
"GEN-ER",150,126,"150_ep0.125_degree_erdos_10.in",7,600.1292,1512164438825723648
"GEN-ER",150,122,"150_ep0.125_degree_erdos_10.in",8,600.0682,1512165038971672064
"GEN-ER",150,119,"150_ep0.125_degree_erdos_10.in",9,600.2006,1512165639057814784
"GEN-ER",150,115,"150_ep0.125_degree_erdos_10.in",10,600.0927,1512166239275229952
"GEN-ER",150,146,"150_ep0.1_degree_erdos_7.in",1,4.6624,1512166839396798976
"GEN-ER",150,141,"150_ep0.1_degree_erdos_7.in",2,35.4453,1512166844076971008
"GEN-ER",150,136,"150_ep0.1_degree_erdos_7.in",3,67.6864,1512166879538769664
"GEN-ER",150,132,"150_ep0.1_degree_erdos_7.in",4,244.9787,1512166947244324608
"GEN-ER",150,127,"150_ep0.1_degree_erdos_7.in",5,404.7305,1512167192242297600
"GEN-ER",150,122,"150_ep0.1_degree_erdos_7.in",6,600.0665,1512167596989207552
"GEN-ER",150,117,"150_ep0.1_degree_erdos_7.in",7,600.0899,1512168197088663552
"GEN-ER",150,112,"150_ep0.1_degree_erdos_7.in",8,600.2071,1512168797194932224
"GEN-ER",150,106,"150_ep0.1_degree_erdos_7.in",9,600.1182,1512169397423267584
"GEN-ER",150,99,"150_ep0.1_degree_erdos_7.in",10,600.0831,1512169997560112384
"GEN-ER",150,145,"150_ep0.075_degree_erdos_2.in",1,4.9212,1512170597675697920
"GEN-ER",150,139,"150_ep0.075_degree_erdos_2.in",2,110.632,1512170602627021824
"GEN-ER",150,134,"150_ep0.075_degree_erdos_2.in",3,600.1043,1512170713279060736
"GEN-ER",150,128,"150_ep0.075_degree_erdos_2.in",4,600.116,1512171313404907776
"GEN-ER",150,121,"150_ep0.075_degree_erdos_2.in",5,600.2145,1.512171913539e+18
"GEN-ER",150,111,"150_ep0.075_degree_erdos_2.in",6,600.0874,1512172513770668032
"GEN-ER",150,104,"150_ep0.075_degree_erdos_2.in",7,600.1055,1512173113879114240
"GEN-ER",150,4,"150_ep0.075_degree_erdos_2.in",8,128.1097,1512173714004738304
"GEN-ER",150,2,"150_ep0.075_degree_erdos_2.in",9,6.0213,1512173842141340160
"GEN-ER",150,1,"150_ep0.075_degree_erdos_2.in",10,2.7395,1512173848180657152
"GEN-ER",150,145,"150_ep0.075_degree_erdos_5.in",1,5.0184,1512173850953621504
"GEN-ER",150,140,"150_ep0.075_degree_erdos_5.in",2,35.382,1512173855992065792
"GEN-ER",150,135,"150_ep0.075_degree_erdos_5.in",3,227.5175,1512173891393493760
"GEN-ER",150,129,"150_ep0.075_degree_erdos_5.in",4,498.6506,1512174118927573760
"GEN-ER",150,123,"150_ep0.075_degree_erdos_5.in",5,600.1145,1512174617597465856
"GEN-ER",150,116,"150_ep0.075_degree_erdos_5.in",6,600.0947,1512175217734261504
"GEN-ER",150,109,"150_ep0.075_degree_erdos_5.in",7,600.078,1512175817845335552
"GEN-ER",150,99,"150_ep0.075_degree_erdos_5.in",8,600.0946,1512176417943022592
"GEN-ER",150,86,"150_ep0.075_degree_erdos_5.in",9,600.1564,1512177018060562688
"GEN-ER",150,10,"150_ep0.075_degree_erdos_5.in",10,113.6247,1512177618233148160
"GEN-ER",150,145,"150_ep0.075_degree_erdos_1.in",1,4.3428,1512177731887461888
"GEN-ER",150,140,"150_ep0.075_degree_erdos_1.in",2,25.0104,1512177736248696576
"GEN-ER",150,133,"150_ep0.075_degree_erdos_1.in",3,101.8416,1512177761275034112
"GEN-ER",150,128,"150_ep0.075_degree_erdos_1.in",4,411.8582,1512177863135742208
"GEN-ER",150,122,"150_ep0.075_degree_erdos_1.in",5,600.1029,1512178275013680640
"GEN-ER",150,116,"150_ep0.075_degree_erdos_1.in",6,600.1045,1512178875136306688
"GEN-ER",150,110,"150_ep0.075_degree_erdos_1.in",7,600.1038,1512179475260237312
"GEN-ER",150,101,"150_ep0.075_degree_erdos_1.in",8,600.101,1512180075380243712
"GEN-ER",150,90,"150_ep0.075_degree_erdos_1.in",9,600.0812,1512180675500809472
"GEN-ER",150,73,"150_ep0.075_degree_erdos_1.in",10,600.1053,1512181275603813120
"GEN-ER",150,145,"150_ep0.075_degree_erdos_3.in",1,4.9615,1512181875742114048
"GEN-ER",150,139,"150_ep0.075_degree_erdos_3.in",2,35.8102,1512181880719698176
"GEN-ER",150,133,"150_ep0.075_degree_erdos_3.in",3,387.7234,1512181916545761536
"GEN-ER",150,127,"150_ep0.075_degree_erdos_3.in",4,600.1014,1512182304289370624
"GEN-ER",150,120,"150_ep0.075_degree_erdos_3.in",5,600.0971,1512182904406648064
"GEN-ER",150,113,"150_ep0.075_degree_erdos_3.in",6,600.0986,1512183504523119104
"GEN-ER",150,104,"150_ep0.075_degree_erdos_3.in",7,600.1132,1512184104639633920
"GEN-ER",150,89,"150_ep0.075_degree_erdos_3.in",8,600.1327,1512184704775140352
"GEN-ER",150,3,"150_ep0.075_degree_erdos_3.in",9,53.9599,1512185304923955456
"GEN-ER",150,2,"150_ep0.075_degree_erdos_3.in",10,3.5659,1512185358900442368
"GEN-ER",150,144,"150_ep0.075_degree_erdos_8.in",1,4.1347,1512185362497288192
"GEN-ER",150,139,"150_ep0.075_degree_erdos_8.in",2,52.8013,1512185366648219136
"GEN-ER",150,134,"150_ep0.075_degree_erdos_8.in",3,595.7964,1512185419468635648
"GEN-ER",150,128,"150_ep0.075_degree_erdos_8.in",4,600.0894,1512186015286408960
"GEN-ER",150,120,"150_ep0.075_degree_erdos_8.in",5,600.101,1512186615391789056
"GEN-ER",150,112,"150_ep0.075_degree_erdos_8.in",6,600.1002,1512187215513981440
"GEN-ER",150,103,"150_ep0.075_degree_erdos_8.in",7,600.113,1512187815630706688
"GEN-ER",150,4,"150_ep0.075_degree_erdos_8.in",8,137.2644,1512188415763409408
"GEN-ER",150,2,"150_ep0.075_degree_erdos_8.in",9,9.9242,1512188553057379072
"GEN-ER",150,1,"150_ep0.075_degree_erdos_8.in",10,2.3589,1512188562997596928
"GEN-ER",150,147,"150_ep0.125_degree_erdos_3.in",1,5.618,1512188565382795008
"GEN-ER",150,143,"150_ep0.125_degree_erdos_3.in",2,17.1402,1512188571024740864
"GEN-ER",150,139,"150_ep0.125_degree_erdos_3.in",3,62.0118,1512188588184546304
"GEN-ER",150,136,"150_ep0.125_degree_erdos_3.in",4,280.7317,1512188650216780800
