"set","n","result","instance","D","runtime","seed"
"BBGRL",1000,2,"1000_ep0.01_0_gilbert_3.in",6,60.4433,1503706378469348096
"BBGRL",1000,1,"1000_ep0.01_0_gilbert_3.in",7,11.7625,1503706441038560768
"BBGRL",1000,1,"1000_ep0.01_0_gilbert_3.in",8,11.5097,1503706454834570496
"BBGRL",1000,1,"1000_ep0.01_0_gilbert_3.in",9,11.8559,1503706468368887296
"BBGRL",1000,1,"1000_ep0.01_0_gilbert_3.in",10,11.5622,1503706482437514240
"BBGRL",1000,994,"1000_ep0.01_0_gilbert_6.in",1,62.2879,1503706495849288448
"BBGRL",1000,988,"1000_ep0.01_0_gilbert_6.in",2,167.2121,1503706560157039872
"BBGRL",1000,982,"1000_ep0.01_0_gilbert_6.in",3,167.1994,1503706729384200960
"BBGRL",1000,975,"1000_ep0.01_0_gilbert_6.in",4,167.1609,1503706898464111616
"BBGRL",1000,969,"1000_ep0.01_0_gilbert_6.in",5,167.2318,1503707067404392960
"BBGRL",1000,964,"1000_ep0.01_0_gilbert_6.in",6,167.3103,1503707236573729280
"BBGRL",1000,958,"1000_ep0.01_0_gilbert_6.in",7,170.6476,1503707406009787648
"BBGRL",1000,952,"1000_ep0.01_0_gilbert_6.in",8,167.2023,1503707578457814528
"BBGRL",1000,944,"1000_ep0.01_0_gilbert_6.in",9,167.2161,1.503707747494e+18
"BBGRL",1000,932,"1000_ep0.01_0_gilbert_6.in",10,167.4875,1503707916499307776
"BBGRL",1000,995,"1000_ep0.0125_0_gilbert_5.in",1,52.3351,1503708086025009920
"BBGRL",1000,990,"1000_ep0.0125_0_gilbert_5.in",2,167.6262,1503708140424605952
"BBGRL",1000,984,"1000_ep0.0125_0_gilbert_5.in",3,167.2286,1503708309836075264
"BBGRL",1000,979,"1000_ep0.0125_0_gilbert_5.in",4,167.3783,1503708478851376896
"BBGRL",1000,975,"1000_ep0.0125_0_gilbert_5.in",5,167.2468,1503708648026331136
